Coding System (Read),Codes,Description,Entity type,Category
Read,9iD2.00,Black British - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9S2..00,Black Caribbean,res56: ethnicity,diagnostic
Read,9S3..00,Black African,res56: ethnicity,diagnostic
Read,9S41.00,Black British,res56: ethnicity,diagnostic
Read,9S42.00,Black Caribbean/W.I./Guyana,res56: ethnicity,diagnostic
Read,9S9..00,Chinese,res56: ethnicity,diagnostic
Read,9SA4.00,N African Arab/Iranian (NMO),res56: ethnicity,diagnostic
Read,9SA4.11,North African Arab (NMO),res56: ethnicity,diagnostic
Read,9SA4.12,Iranian (NMO),res56: ethnicity,diagnostic
Read,9SA6.00,E Afric Asian/Indo-Carib (NMO),res56: ethnicity,diagnostic
Read,9SC..00,Vietnamese,res56: ethnicity,diagnostic
Read,9SJ..00,Other ethnic group,res56: ethnicity,diagnostic
Read,9i2C.00,Irish Traveller - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9i2D.00,Traveller - ethnic category 2001 census,res56: ethnicity,diagnostic
Read,9S14.00,Other white British ethnic group,res56: ethnicity,diagnostic
