System,Code,Description
snomedct,72248007,Kikuyu (ethnic group)
snomedct,53195006,Kirghiz (ethnic group)
snomedct,38361009,Koreans (ethnic group)
snomedct,9.3981E+13,Kosovan - ethnic category 2001 census (finding)
snomedct,9.4091E+13,Kurdish - ethnic category 2001 census (finding)
snomedct,77686000,Kwakiutl (ethnic group)
snomedct,75326007,Labradors (ethnic group)
snomedct,20291009,Lacandon (ethnic group)
snomedct,67165000,Lapps (ethnic group)
snomedct,9.4111E+13,Latin American - ethnic category 2001 census (finding)
snomedct,9158000,Liberians (ethnic group)
snomedct,83584002,Luo (ethnic group)
snomedct,21868006,Madagascans (ethnic group)
snomedct,1340002,Malays (ethnic group)
snomedct,9.2781E+13,Malaysian - ethnic category 2001 census (finding)
snomedct,73736004,Maori (ethnic group)
snomedct,75301003,Mapuche (ethnic group)
snomedct,4299001,Marathas (ethnic group)
snomedct,59597001,Marshallese (ethnic group)
snomedct,63457007,Maya (ethnic group)
snomedct,704388000,Melanau (ethnic group)
snomedct,414661004,Melanesian (ethnic group)
snomedct,13428006,Melanesian race (finding)
snomedct,23534002,Melanesians (ethnic group)
snomedct,74159009,Melanuans (ethnic group)
snomedct,47327008,Mexican Indians (ethnic group)
snomedct,44356001,Micronesian race (finding)
snomedct,3698008,Micronesians (ethnic group)
snomedct,9.4071E+13,"Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census (finding)"
snomedct,9.2631E+13,Mixed Asian - ethnic category 2001 census (finding)
snomedct,9.2721E+13,Mixed Black - ethnic category 2001 census (finding)
snomedct,315239007,Mixed ethnic census group (ethnic group)
snomedct,9.4021E+13,Mixed Irish and other White - ethnic category 2001 census (finding)
snomedct,9.76781E+14,Mixed multiple ethnic groups: any other Mixed or  Multiple ethnic background - England and Wales ethnic category 2011 census 
snomedct,9.76771E+14,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census (finding)
snomedct,9.77561E+14,Mixed multiple ethnic groups: any other Mixed or Multiple ethnic background - Northern Ireland ethnic category 2011 census 
snomedct,9.77551E+14,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.76761E+14,Mixed multiple ethnic groups: white and Asian - England and Wales ethnic category 2011 census 
snomedct,9.76751E+14,Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census (finding)
snomedct,9.77441E+14,Mixed multiple ethnic groups: white and Asian - Northern Ireland ethnic category 2011 census 
snomedct,9.77431E+14,Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census (finding)
snomedct,9.76741E+14,Mixed multiple ethnic groups: white and black African - England and Wales ethnic category 2011 census 
snomedct,9.76731E+14,Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census (finding)
snomedct,9.77421E+14,Mixed multiple ethnic groups: white and black African - Northern Ireland ethnic category 2011 census 
snomedct,9.77411E+14,Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census (finding)
