Coding System (Read),Codes,Description,Entity type,Category
Read,9T11-1,Pakeha,res17: Ethnicity,test
Read,9T14,Samoan,res17: Ethnicity,test
Read,9T17,Niuean,res17: Ethnicity,test
Read,9T19,Fijian,res17: Ethnicity,test
Read,9T1D,Indian,res17: Ethnicity,test
Read,9T1Y,Other New Zealand ethnic group,res17: Ethnicity,test
Read,9T3,Yemeni,res17: Ethnicity,test
Read,9T5,Bulgarian,res17: Ethnicity,test
Read,9T7,Slovak,res17: Ethnicity,test
Read,EMISNQBR14,Brazilian,res17: Ethnicity,test
